144 time:603.29,best fitness:-5.1273999827777335
145 time:597.75,best fitness:-5.151545887385277
146 time:601.43,best fitness:-5.127270910181355
147 time:600.45,best fitness:-5.11524064211452
148 time:601.11,best fitness:-5.129546764032456
149 time:604.48,best fitness:-5.167092073890011
150 time:606.37,best fitness:-5.125372078099685
151 time:605.79,best fitness:-5.118888820927802
152 time:604.64,best fitness:-5.139991659529089
153 time:607.27,best fitness:-5.155774202106104
154 time:592.4,best fitness:-5.127941019427984
155 time:600.65,best fitness:-5.127391261702367
156 time:603.12,best fitness:-5.157314884011043
157 time:593.12,best fitness:-5.161538161277051
158 time:602.83,best fitness:-5.139493718788702
159 time:601.57,best fitness:-5.167961571614701
160 time:602.74,best fitness:-5.115589543490033
161 time:602.01,best fitness:-5.154463565547227
162 time:594.1,best fitness:-5.148420411891283
163 time:599.13,best fitness:-5.11406762975801
164 time:597.73,best fitness:-5.11732647061123
165 time:598.42,best fitness:-5.134530414027028
166 time:602.98,best fitness:-5.140604009810753
167 time:599.15,best fitness:-5.154076804134002
168 time:588.85,best fitness:-5.135165673530889
169 time:596.55,best fitness:-5.133105018129848
170 time:456.05,best fitness:-5.109773817172768
171 time:456.85,best fitness:-5.142771456347255
172 time:459.29,best fitness:-5.151996603326433
173 time:460.95,best fitness:-5.129097536011035
174 time:454.33,best fitness:-5.145776376949329
175 time:460.98,best fitness:-5.14290144631019
176 time:456.11,best fitness:-5.151887817421851
177 time:456.82,best fitness:-5.160532040229654
178 time:459.66,best fitness:-5.145909960454932
179 time:459.83,best fitness:-5.064269849235477
180 time:453.61,best fitness:-5.127048344640825
181 time:459.8,best fitness:-5.167090677925962
182 time:456.09,best fitness:-5.153226335597393
183 time:460.55,best fitness:-5.135991593977131
184 time:458.07,best fitness:-5.1264966875331295
185 time:455.96,best fitness:-5.148525302819936
186 time:457.96,best fitness:-5.145240317947229
187 time:452.76,best fitness:-5.142009754348296
188 time:456.04,best fitness:-5.141991444703225
189 time:461.68,best fitness:-5.167594588608606
190 time:456.01,best fitness:-5.159554259592116
191 time:454.28,best fitness:-5.135210507615765
192 time:454.2,best fitness:-5.1084075280184935
193 time:458.0,best fitness:-5.155567119994713
194 time:456.0,best fitness:-5.1456420844056705
195 time:455.03,best fitness:-5.154894376900307
196 time:455.44,best fitness:-5.157887581021682
197 time:457.29,best fitness:-5.152779337792313
198 time:461.06,best fitness:-5.135373437403802
199 time:456.16,best fitness:-5.080552308095596
200 time:455.73,best fitness:-5.1482859677705815
201 time:454.79,best fitness:-5.149518399384149
202 time:456.91,best fitness:-5.15012771453456
203 time:456.31,best fitness:-5.156075841767583
204 time:458.09,best fitness:-5.1540580306898764
205 time:454.16,best fitness:-5.170053743345219
206 time:449.34,best fitness:-5.165587511354803
207 time:457.56,best fitness:-5.107054632260999
208 time:456.63,best fitness:-5.163022154963366
209 time:459.45,best fitness:-5.153426491784988
210 time:453.15,best fitness:-5.124443859428719
211 time:453.86,best fitness:-5.1360167697376955
212 time:462.96,best fitness:-5.138276317600166
213 time:454.2,best fitness:-5.151469572762387
214 time:453.23,best fitness:-5.123690120141456
215 time:454.92,best fitness:-5.189312235847298
216 time:455.99,best fitness:-5.129280044396253
217 time:456.07,best fitness:-5.166939229524533
218 time:456.22,best fitness:-5.1233384409481495
219 time:457.04,best fitness:-5.097319592231196
220 time:461.53,best fitness:-5.164732640790234
221 time:458.08,best fitness:-5.131275612027926
222 time:455.37,best fitness:-5.140289129930582
223 time:451.93,best fitness:-5.173736563634435
224 time:463.64,best fitness:-5.140629466392286
225 time:459.25,best fitness:-5.135908396085319
226 time:460.13,best fitness:-5.187359674886173
227 time:460.71,best fitness:-5.163490279679337
228 time:460.16,best fitness:-5.1028538401099715
229 time:459.31,best fitness:-5.119700385908817
230 time:453.88,best fitness:-5.132301285555
231 time:460.78,best fitness:-5.146754869524616
232 time:459.26,best fitness:-5.188723892213456
233 time:456.76,best fitness:-5.110611312955087
234 time:460.17,best fitness:-5.109094897205731
235 time:457.97,best fitness:-5.1004728557488175
236 time:457.13,best fitness:-5.164543346900495
237 time:459.94,best fitness:-5.128042314503739
238 time:459.24,best fitness:-5.162534173976043
239 time:458.08,best fitness:-5.145606561831732
240 time:465.08,best fitness:-5.143134823258021
241 time:457.97,best fitness:-5.189047246501224
242 time:458.93,best fitness:-5.154642556088269
243 time:455.07,best fitness:-5.155059406342635
244 time:455.39,best fitness:-5.140946612059686
245 time:457.7,best fitness:-5.090204857879053
246 time:453.56,best fitness:-5.149902793924903
247 time:457.33,best fitness:-5.120990631531422
248 time:458.99,best fitness:-5.1324387051570834
249 time:455.81,best fitness:-5.132852815727298
250 time:459.23,best fitness:-5.17517483464653
251 time:455.3,best fitness:-5.107962088391734
252 time:461.12,best fitness:-5.145090768579317
253 time:458.56,best fitness:-5.155536140030412
254 time:466.62,best fitness:-5.123937465460389
255 time:463.48,best fitness:-5.198673291449806
256 time:454.84,best fitness:-5.118393145060297
257 time:458.83,best fitness:-5.1888419031789015
258 time:456.21,best fitness:-5.117882027754256
259 time:459.99,best fitness:-5.190848232494052
260 time:462.2,best fitness:-5.147963184659021
261 time:468.21,best fitness:-5.122735335950845
262 time:462.52,best fitness:-5.112575916772381
