145 time:0.08,best fitness:0.5692307692307692
146 time:0.08,best fitness:0.7384615384615385
147 time:0.1,best fitness:0.7384615384615385
148 time:0.09,best fitness:0.7384615384615385
149 time:0.1,best fitness:0.7384615384615385
150 time:0.08,best fitness:0.7384615384615385
151 time:0.07,best fitness:0.7384615384615385
152 time:0.08,best fitness:0.7384615384615385
153 time:0.09,best fitness:0.7384615384615385
154 time:0.09,best fitness:0.7384615384615385
155 time:0.07,best fitness:0.7384615384615385
156 time:0.09,best fitness:0.7384615384615385
157 time:0.08,best fitness:0.7384615384615385
158 time:0.07,best fitness:0.7384615384615385
159 time:0.07,best fitness:0.7384615384615385
160 time:0.07,best fitness:0.7384615384615385
161 time:0.1,best fitness:0.7384615384615385
162 time:0.1,best fitness:0.7384615384615385
163 time:0.09,best fitness:0.7730769230769231
164 time:0.09,best fitness:0.7730769230769231
165 time:0.08,best fitness:0.7730769230769231
166 time:0.08,best fitness:0.7730769230769231
167 time:0.07,best fitness:0.7730769230769231
168 time:0.07,best fitness:0.7730769230769231
169 time:0.07,best fitness:0.7730769230769231
170 time:0.07,best fitness:0.7730769230769231
171 time:0.08,best fitness:0.7730769230769231
172 time:0.08,best fitness:0.7730769230769231
173 time:0.08,best fitness:0.7730769230769231
174 time:0.07,best fitness:0.7730769230769231
175 time:0.08,best fitness:0.7730769230769231
176 time:0.08,best fitness:0.7730769230769231
177 time:0.14,best fitness:0.7730769230769231
178 time:0.09,best fitness:0.7730769230769231
179 time:0.1,best fitness:0.7730769230769231
180 time:0.07,best fitness:0.7730769230769231
181 time:0.07,best fitness:0.7730769230769231
182 time:0.07,best fitness:0.7730769230769231
183 time:0.08,best fitness:0.7730769230769231
184 time:0.07,best fitness:0.7730769230769231
185 time:0.07,best fitness:0.7730769230769231
186 time:0.07,best fitness:0.7730769230769231
187 time:0.07,best fitness:0.7730769230769231
188 time:0.08,best fitness:0.7730769230769231
189 time:0.07,best fitness:0.7730769230769231
190 time:0.11,best fitness:0.7730769230769231
191 time:0.09,best fitness:0.7730769230769231
192 time:0.1,best fitness:0.7730769230769231
193 time:0.09,best fitness:0.7730769230769231
194 time:0.09,best fitness:0.7730769230769231
195 time:0.07,best fitness:0.7730769230769231
196 time:0.08,best fitness:0.7730769230769231
197 time:0.1,best fitness:0.7730769230769231
198 time:0.08,best fitness:0.7730769230769231
199 time:0.09,best fitness:0.7730769230769231
200 time:0.08,best fitness:0.7730769230769231
201 time:0.07,best fitness:0.7730769230769231
202 time:0.07,best fitness:0.7730769230769231
203 time:0.08,best fitness:0.7730769230769231
204 time:0.1,best fitness:0.7730769230769231
205 time:0.09,best fitness:0.7730769230769231
206 time:0.08,best fitness:0.7730769230769231
207 time:0.09,best fitness:0.7730769230769231
208 time:0.1,best fitness:0.7730769230769231
209 time:0.1,best fitness:0.7730769230769231
210 time:0.09,best fitness:0.7730769230769231
211 time:0.07,best fitness:0.7730769230769231
212 time:0.07,best fitness:0.7730769230769231
213 time:0.1,best fitness:0.7730769230769231
214 time:0.08,best fitness:0.7730769230769231
215 time:0.1,best fitness:0.7730769230769231
216 time:0.09,best fitness:0.7730769230769231
217 time:0.1,best fitness:0.7730769230769231
218 time:0.09,best fitness:0.7730769230769231
219 time:0.1,best fitness:0.7730769230769231
220 time:0.08,best fitness:0.7730769230769231
221 time:0.09,best fitness:0.7730769230769231
222 time:0.08,best fitness:0.7730769230769231
223 time:0.08,best fitness:0.7730769230769231
224 time:0.07,best fitness:0.7730769230769231
225 time:0.08,best fitness:0.7730769230769231
226 time:0.08,best fitness:0.7730769230769231
227 time:0.07,best fitness:0.7730769230769231
228 time:0.08,best fitness:0.7730769230769231
229 time:0.09,best fitness:0.7730769230769231
230 time:0.08,best fitness:0.7730769230769231
231 time:0.07,best fitness:0.7730769230769231
232 time:0.1,best fitness:0.7730769230769231
233 time:0.1,best fitness:0.7730769230769231
234 time:0.09,best fitness:0.7730769230769231
235 time:0.07,best fitness:0.7730769230769231
236 time:0.08,best fitness:0.7730769230769231
237 time:0.08,best fitness:0.7730769230769231
238 time:0.09,best fitness:0.7730769230769231
239 time:0.08,best fitness:0.7730769230769231
240 time:0.08,best fitness:0.7730769230769231
241 time:0.09,best fitness:0.7730769230769231
242 time:0.08,best fitness:0.7730769230769231
243 time:0.07,best fitness:0.7730769230769231
244 time:0.07,best fitness:0.7730769230769231
245 time:0.08,best fitness:0.7730769230769231
246 time:0.08,best fitness:0.7730769230769231
247 time:0.08,best fitness:0.7730769230769231
248 time:0.1,best fitness:0.7730769230769231
249 time:0.07,best fitness:0.7730769230769231
250 time:0.08,best fitness:0.7730769230769231
251 time:0.09,best fitness:0.7730769230769231
252 time:0.09,best fitness:0.7730769230769231
253 time:0.1,best fitness:0.7730769230769231
254 time:0.08,best fitness:0.7730769230769231
255 time:0.08,best fitness:0.7730769230769231
256 time:0.09,best fitness:0.7730769230769231
257 time:0.07,best fitness:0.7730769230769231
258 time:0.08,best fitness:0.7730769230769231
259 time:0.08,best fitness:0.7730769230769231
260 time:0.07,best fitness:0.7730769230769231
261 time:0.07,best fitness:0.7730769230769231
262 time:0.07,best fitness:0.7730769230769231
263 time:0.09,best fitness:0.7730769230769231
264 time:0.08,best fitness:0.7730769230769231
265 time:0.07,best fitness:0.7730769230769231
266 time:0.09,best fitness:0.7730769230769231
267 time:0.09,best fitness:0.7730769230769231
268 time:0.09,best fitness:0.7730769230769231
269 time:0.1,best fitness:0.7730769230769231
270 time:0.08,best fitness:0.7730769230769231
271 time:0.08,best fitness:0.7730769230769231
272 time:0.07,best fitness:0.7730769230769231
273 time:0.13,best fitness:0.7730769230769231
274 time:0.08,best fitness:0.7730769230769231
275 time:0.11,best fitness:0.7730769230769231
276 time:0.07,best fitness:0.7730769230769231
277 time:0.07,best fitness:0.7730769230769231
278 time:0.09,best fitness:0.7730769230769231
279 time:0.08,best fitness:0.7730769230769231
280 time:0.08,best fitness:0.7730769230769231
281 time:0.08,best fitness:0.7730769230769231
282 time:0.08,best fitness:0.7730769230769231
283 time:0.1,best fitness:0.7730769230769231
284 time:0.08,best fitness:0.7730769230769231
285 time:0.1,best fitness:0.7730769230769231
286 time:0.09,best fitness:0.7730769230769231
287 time:0.08,best fitness:0.7730769230769231
288 time:0.1,best fitness:0.7730769230769231
289 time:0.07,best fitness:0.7730769230769231
290 time:0.09,best fitness:0.7730769230769231
291 time:0.07,best fitness:0.7730769230769231
292 time:0.07,best fitness:0.7730769230769231
293 time:0.1,best fitness:0.7730769230769231
294 time:0.07,best fitness:0.7730769230769231
295 time:0.11,best fitness:0.7730769230769231
296 time:0.09,best fitness:0.7730769230769231
297 time:0.1,best fitness:0.7730769230769231
298 time:0.09,best fitness:0.7730769230769231
299 time:0.08,best fitness:0.7730769230769231
300 time:0.08,best fitness:0.7730769230769231
301 time:0.07,best fitness:0.7730769230769231
302 time:0.08,best fitness:0.7730769230769231
303 time:0.08,best fitness:0.7730769230769231
304 time:0.09,best fitness:0.7730769230769231
305 time:0.08,best fitness:0.9923076923076923
306 time:0.1,best fitness:0.9923076923076923
307 time:0.1,best fitness:0.9923076923076923
308 time:0.08,best fitness:0.9923076923076923
309 time:0.08,best fitness:0.9923076923076923
310 time:0.08,best fitness:0.9923076923076923
311 time:0.09,best fitness:0.9923076923076923
312 time:0.08,best fitness:0.9923076923076923
313 time:0.08,best fitness:0.9923076923076923
314 time:0.09,best fitness:0.9923076923076923
315 time:0.08,best fitness:0.9923076923076923
316 time:0.07,best fitness:0.9923076923076923
317 time:0.09,best fitness:0.9923076923076923
318 time:0.1,best fitness:0.9923076923076923
319 time:0.08,best fitness:0.9923076923076923
320 time:0.07,best fitness:0.9923076923076923
321 time:0.07,best fitness:0.9923076923076923
322 time:0.07,best fitness:0.9923076923076923
323 time:0.07,best fitness:0.9923076923076923
324 time:0.07,best fitness:0.9923076923076923
325 time:0.09,best fitness:0.9961538461538462
326 time:0.09,best fitness:0.9961538461538462
327 time:0.09,best fitness:0.9961538461538462
328 time:0.09,best fitness:0.9961538461538462
329 time:0.07,best fitness:0.9961538461538462
330 time:0.1,best fitness:0.9961538461538462
331 time:0.08,best fitness:0.9961538461538462
332 time:0.07,best fitness:0.9961538461538462
333 time:0.07,best fitness:0.9961538461538462
334 time:0.09,best fitness:0.9961538461538462
335 time:0.07,best fitness:0.9961538461538462
336 time:0.09,best fitness:0.9961538461538462
337 time:0.1,best fitness:0.9961538461538462
338 time:0.1,best fitness:0.9961538461538462
339 time:0.08,best fitness:0.9961538461538462
