145 time:156.46,best fitness:-16.70081134599771
146 time:155.72,best fitness:-17.83973782876492
147 time:156.17,best fitness:-17.481683360750722
148 time:151.77,best fitness:-17.188149858762586
149 time:150.29,best fitness:-17.569684026098955
150 time:153.4,best fitness:-17.28057062206887
151 time:154.15,best fitness:-17.41712491710133
152 time:155.62,best fitness:-17.900425572609134
153 time:157.18,best fitness:-17.262356687726225
154 time:157.03,best fitness:-17.640917329120867
155 time:153.22,best fitness:-17.106120047719944
156 time:153.92,best fitness:-17.50789762791803
157 time:156.04,best fitness:-17.327002133979033
158 time:153.03,best fitness:-17.228130355552825
159 time:151.72,best fitness:-17.59789822748674
160 time:154.3,best fitness:-17.46871513733943
161 time:153.48,best fitness:-17.50770871538351
162 time:153.61,best fitness:-17.83824523072993
163 time:154.73,best fitness:-17.252525146026695
164 time:155.39,best fitness:-17.095941072354936
165 time:154.58,best fitness:-17.067908046067068
166 time:152.97,best fitness:-17.1869529812586
167 time:153.71,best fitness:-17.111103093084562
168 time:153.61,best fitness:-17.087098319574654
169 time:151.28,best fitness:-17.340415829643792
170 time:154.98,best fitness:-18.180122619212423
171 time:151.71,best fitness:-17.270526014485526
172 time:152.85,best fitness:-17.710924868112176
173 time:151.91,best fitness:-17.168320477508615
174 time:152.94,best fitness:-17.547770705929626
175 time:150.73,best fitness:-16.944677456035475
176 time:153.62,best fitness:-17.209104060739424
177 time:153.99,best fitness:-17.531218607050373
178 time:154.25,best fitness:-17.401183658873645
179 time:162.14,best fitness:-17.385280280483286
180 time:155.42,best fitness:-17.166961724653387
181 time:153.64,best fitness:-17.374684777634652
182 time:152.67,best fitness:-17.522773834553558
183 time:155.94,best fitness:-17.749944909892402
184 time:153.49,best fitness:-17.6748937387719
185 time:153.89,best fitness:-17.546779180866906
186 time:149.9,best fitness:-17.028768301273246
187 time:152.58,best fitness:-16.8401226311609
188 time:152.93,best fitness:-17.62010755180823
189 time:153.06,best fitness:-17.471090966912737
190 time:153.27,best fitness:-17.668081381999986
191 time:151.04,best fitness:-17.206777540032906
192 time:154.71,best fitness:-17.29611190561715
193 time:154.73,best fitness:-17.6040335087042
194 time:151.34,best fitness:-16.967445997479615
195 time:150.61,best fitness:-17.3828189794011
196 time:153.62,best fitness:-17.378014048269794
197 time:155.08,best fitness:-17.84696431930004
198 time:152.98,best fitness:-17.236904591485217
199 time:152.64,best fitness:-17.5861096676957
200 time:152.76,best fitness:-17.48569411020415
201 time:153.34,best fitness:-17.18179872852014
202 time:151.66,best fitness:-17.03271802188011
203 time:153.1,best fitness:-17.293488366372653
204 time:151.55,best fitness:-17.584318032931208
205 time:154.53,best fitness:-17.493885154037866
206 time:155.72,best fitness:-17.521308991193543
207 time:151.18,best fitness:-17.21669925938726
208 time:152.16,best fitness:-17.17663992099722
209 time:154.23,best fitness:-16.935964316414204
210 time:155.38,best fitness:-17.536600814663558
211 time:155.39,best fitness:-17.374774865290586
212 time:152.18,best fitness:-17.04813661877711
213 time:152.46,best fitness:-17.237103723684918
214 time:151.97,best fitness:-17.17744237637616
215 time:154.69,best fitness:-17.414692606413297
216 time:151.36,best fitness:-17.474658914498278
217 time:151.6,best fitness:-17.403041815877497
