0 time:194.13,best fitness:-20.031084615384614
1 time:185.15,best fitness:-19.95982307692308
2 time:188.44,best fitness:-20.00003076923077
3 time:187.24,best fitness:-19.989753846153846
4 time:188.42,best fitness:-20.08090769230769
5 time:183.3,best fitness:-19.96037692307692
6 time:182.21,best fitness:-20.19406923076923
7 time:181.21,best fitness:-20.138561538461538
8 time:187.44,best fitness:-19.933661538461543
9 time:185.07,best fitness:-20.0249
10 time:187.92,best fitness:-19.782338461538465
11 time:185.36,best fitness:-20.030815384615387
12 time:186.24,best fitness:-19.912115384615383
13 time:183.99,best fitness:-20.24166923076923
14 time:184.68,best fitness:-19.902076923076923
15 time:184.18,best fitness:-19.329676923076924
16 time:185.86,best fitness:-19.5021
17 time:189.3,best fitness:-19.296146153846152
18 time:184.32,best fitness:-18.968715384615383
19 time:188.67,best fitness:-18.975546153846153
20 time:184.76,best fitness:-18.988853846153848
21 time:183.97,best fitness:-18.93576153846154
22 time:186.35,best fitness:-19.022615384615385
23 time:185.4,best fitness:-8.383323076923077
24 time:189.3,best fitness:-7.407507692307693
25 time:189.19,best fitness:-7.200923076923077
26 time:186.53,best fitness:-7.241392307692308
27 time:187.28,best fitness:-7.102015384615386
28 time:191.76,best fitness:-7.5345615384615385
29 time:184.59,best fitness:-7.43446153846154
30 time:189.95,best fitness:-7.300392307692308
31 time:187.4,best fitness:-7.428592307692307
32 time:187.16,best fitness:-7.376284615384616
33 time:187.86,best fitness:-7.429815384615385
34 time:186.22,best fitness:-7.326207692307692
35 time:189.71,best fitness:-7.5459076923076935
36 time:188.28,best fitness:-7.48893076923077
37 time:189.07,best fitness:-6.975884615384616
38 time:187.53,best fitness:-7.407476923076922
39 time:187.02,best fitness:-7.296092307692309
40 time:188.25,best fitness:-7.309984615384616
41 time:186.43,best fitness:-7.47916923076923
42 time:186.95,best fitness:-7.491369230769232
43 time:189.35,best fitness:-7.092146153846153
44 time:186.52,best fitness:-7.504553846153845
45 time:187.12,best fitness:-7.354853846153848
46 time:187.99,best fitness:-7.217423076923077
47 time:186.09,best fitness:-7.195492307692308
48 time:187.07,best fitness:-7.20333076923077
49 time:187.59,best fitness:-7.318938461538462
50 time:186.68,best fitness:-7.391984615384615
51 time:185.66,best fitness:-7.333107692307691
52 time:187.05,best fitness:-7.349407692307692
53 time:189.67,best fitness:-7.523584615384616
54 time:188.45,best fitness:-7.106807692307692
55 time:187.04,best fitness:-7.287469230769231
56 time:185.68,best fitness:-7.2272923076923075
57 time:189.74,best fitness:-7.472238461538462
58 time:187.76,best fitness:-7.542253846153846
