153 time:70.82,best fitness:71.13465384615384
154 time:71.61,best fitness:71.13084615384615
155 time:71.47,best fitness:71.12662307692307
156 time:71.89,best fitness:71.12818461538461
157 time:71.62,best fitness:71.0966769230769
158 time:72.01,best fitness:71.13258461538462
159 time:71.77,best fitness:71.12722307692307
160 time:71.69,best fitness:71.13233846153847
161 time:71.56,best fitness:71.12765384615383
162 time:71.36,best fitness:71.13365384615385
163 time:71.39,best fitness:71.1334
164 time:71.02,best fitness:71.13066923076923
165 time:71.65,best fitness:71.09215384615385
166 time:71.97,best fitness:71.09505384615385
167 time:71.99,best fitness:71.13096153846153
168 time:71.13,best fitness:71.13299230769232
169 time:72.06,best fitness:71.13965384615383
170 time:71.84,best fitness:71.13125384615385
171 time:72.06,best fitness:71.13515384615383
172 time:71.28,best fitness:71.13465384615384
173 time:71.1,best fitness:71.13265384615386
174 time:71.02,best fitness:71.13126153846153
175 time:71.49,best fitness:71.13915384615385
176 time:71.49,best fitness:71.13211538461539
177 time:71.55,best fitness:71.13015384615386
178 time:71.4,best fitness:71.13343846153845
179 time:71.2,best fitness:71.12982307692306
180 time:70.9,best fitness:71.12715384615385
181 time:71.0,best fitness:71.13715384615384
182 time:70.61,best fitness:71.13615384615383
183 time:70.49,best fitness:71.13026153846155
184 time:71.01,best fitness:71.13739999999999
185 time:70.82,best fitness:71.13204615384616
186 time:70.92,best fitness:71.13319999999999
187 time:71.15,best fitness:71.13093846153846
188 time:70.91,best fitness:71.13333076923075
189 time:71.29,best fitness:71.13665384615385
190 time:70.98,best fitness:71.13115384615385
191 time:71.46,best fitness:71.13506923076922
192 time:71.88,best fitness:71.13533846153845
193 time:71.37,best fitness:71.14015384615384
194 time:71.33,best fitness:71.13691538461538
195 time:71.94,best fitness:71.1326
196 time:71.59,best fitness:71.14065384615384
197 time:71.97,best fitness:71.1279923076923
198 time:70.78,best fitness:71.12965384615384
199 time:70.96,best fitness:71.12565384615384
200 time:70.82,best fitness:71.13483846153846
201 time:71.69,best fitness:71.13565384615384
202 time:71.17,best fitness:71.13318461538461
203 time:71.05,best fitness:71.13044615384615
204 time:72.11,best fitness:71.12315384615385
205 time:71.46,best fitness:71.13459230769232
206 time:72.0,best fitness:71.13663076923076
207 time:71.56,best fitness:71.13132307692308
208 time:71.23,best fitness:71.13096153846152
209 time:71.04,best fitness:71.13173846153848
210 time:71.18,best fitness:71.13465384615384
211 time:70.87,best fitness:71.13023076923076
212 time:70.63,best fitness:71.13165384615385
213 time:70.75,best fitness:71.10715384615386
214 time:70.77,best fitness:71.13272307692307
215 time:70.03,best fitness:71.12386153846154
216 time:70.76,best fitness:71.13765384615382
217 time:70.65,best fitness:71.1356923076923
218 time:70.62,best fitness:71.13217692307691
219 time:71.14,best fitness:71.13274615384616
220 time:70.89,best fitness:71.13292307692308
221 time:70.42,best fitness:71.13865384615386
222 time:70.92,best fitness:71.13115384615386
223 time:70.68,best fitness:71.12933846153845
224 time:70.12,best fitness:71.13115384615385
225 time:70.56,best fitness:71.13765384615384
226 time:70.72,best fitness:71.13365384615383
227 time:70.24,best fitness:71.13476923076924
228 time:70.62,best fitness:71.13766153846153
229 time:70.93,best fitness:71.1362
230 time:71.27,best fitness:71.12943076923077
231 time:71.57,best fitness:71.13434615384615
232 time:71.45,best fitness:71.13346153846155
233 time:71.39,best fitness:71.13965384615385
234 time:71.56,best fitness:71.13
235 time:70.87,best fitness:71.13065384615385
236 time:71.39,best fitness:71.13513846153845
237 time:70.84,best fitness:71.13522307692307
238 time:70.59,best fitness:71.13965384615385
239 time:71.2,best fitness:71.13630769230768
240 time:70.62,best fitness:71.13533846153845
241 time:71.89,best fitness:71.12119999999999
242 time:71.24,best fitness:71.11446923076923
243 time:71.72,best fitness:71.13608461538462
244 time:71.24,best fitness:71.13415384615385
245 time:70.82,best fitness:71.13365384615385
246 time:70.37,best fitness:71.13465384615385
247 time:70.71,best fitness:71.13315384615385
248 time:70.53,best fitness:71.13357692307692
249 time:71.17,best fitness:71.13515384615386
250 time:70.89,best fitness:71.1307846153846
251 time:71.36,best fitness:71.13765384615382
252 time:71.37,best fitness:71.13145384615383
253 time:70.26,best fitness:71.12951538461539
254 time:71.11,best fitness:71.13711538461538
255 time:70.91,best fitness:71.13084615384614
256 time:70.57,best fitness:71.13213846153846
257 time:70.95,best fitness:71.13865384615384
258 time:70.62,best fitness:71.13276923076921
259 time:71.29,best fitness:71.13731538461538
260 time:71.07,best fitness:71.1347846153846
261 time:70.6,best fitness:71.13465384615384
262 time:70.94,best fitness:71.13660769230768
263 time:70.67,best fitness:71.13366923076924
264 time:70.24,best fitness:71.13663076923076
265 time:70.45,best fitness:71.13365384615383
266 time:70.17,best fitness:71.1353923076923
267 time:70.89,best fitness:71.13733076923076
268 time:71.29,best fitness:71.13324615384616
269 time:70.41,best fitness:71.1269076923077
270 time:70.66,best fitness:71.13875384615383
271 time:70.77,best fitness:71.13086923076922
272 time:70.71,best fitness:71.13316923076923
273 time:70.6,best fitness:71.1328769230769
274 time:70.31,best fitness:71.1371076923077
275 time:70.8,best fitness:71.13365384615383
276 time:71.0,best fitness:71.12802307692309
277 time:70.86,best fitness:71.13393076923077
278 time:70.95,best fitness:71.13426923076923
279 time:70.89,best fitness:71.13515384615383
280 time:70.95,best fitness:71.13448461538461
281 time:71.08,best fitness:71.13233846153847
282 time:71.02,best fitness:71.13265384615383
283 time:71.18,best fitness:71.12274615384615
284 time:70.37,best fitness:71.13577692307692
285 time:70.47,best fitness:71.13449230769231
286 time:70.06,best fitness:71.13465384615384
287 time:70.9,best fitness:71.10315384615384
288 time:70.78,best fitness:71.12925384615383
289 time:70.89,best fitness:71.13682307692308
290 time:71.38,best fitness:71.13622307692307
291 time:70.82,best fitness:71.13315384615383
292 time:69.84,best fitness:71.13265384615383
293 time:70.47,best fitness:71.13666153846154
294 time:70.79,best fitness:71.13715384615384
295 time:70.49,best fitness:71.11965384615384
296 time:70.28,best fitness:71.12760769230769
297 time:70.26,best fitness:71.12915384615384
298 time:70.2,best fitness:71.12652307692309
299 time:70.46,best fitness:71.13676923076923
300 time:70.89,best fitness:71.13615384615386
301 time:70.37,best fitness:71.1326923076923
302 time:70.94,best fitness:71.13423076923075
303 time:70.23,best fitness:71.13359230769231
304 time:70.61,best fitness:71.13765384615385
305 time:70.46,best fitness:71.13396153846155
306 time:70.34,best fitness:71.13349230769231
307 time:70.13,best fitness:71.13415384615385
308 time:70.33,best fitness:71.1369
309 time:70.61,best fitness:71.13258461538462
310 time:70.89,best fitness:71.13287692307694
311 time:70.9,best fitness:71.13423076923078
312 time:70.92,best fitness:71.12724615384613
313 time:70.26,best fitness:71.1326
314 time:71.29,best fitness:71.12714615384616
315 time:70.53,best fitness:71.12974615384617
316 time:70.67,best fitness:71.13673846153846
317 time:71.15,best fitness:71.13125384615385
318 time:70.77,best fitness:71.13532307692307
319 time:70.85,best fitness:71.1318846153846
320 time:71.25,best fitness:71.14065384615384
321 time:70.65,best fitness:71.13315384615386
322 time:71.51,best fitness:71.13012307692307
323 time:70.84,best fitness:71.13715384615384
324 time:70.97,best fitness:71.12956923076922
325 time:72.07,best fitness:71.13512307692307
326 time:71.28,best fitness:71.11615384615385
327 time:70.98,best fitness:71.13526923076923
328 time:71.34,best fitness:71.13615384615383
329 time:71.98,best fitness:71.13193076923075
330 time:70.95,best fitness:71.12934615384614
331 time:72.03,best fitness:71.12887692307693
332 time:71.16,best fitness:71.13344615384615
333 time:70.89,best fitness:71.1300230769231
334 time:72.48,best fitness:71.13865384615386
335 time:71.29,best fitness:71.13220769230767
336 time:71.52,best fitness:71.13415384615385
337 time:70.59,best fitness:71.13815384615384
338 time:71.66,best fitness:71.13496923076923
339 time:71.42,best fitness:71.13324615384614
340 time:71.85,best fitness:71.13915384615385
341 time:71.82,best fitness:71.13765384615385
342 time:70.7,best fitness:71.12968461538463
343 time:71.32,best fitness:71.11186923076923
344 time:71.31,best fitness:71.13618461538462
345 time:72.76,best fitness:71.1310923076923
346 time:72.22,best fitness:71.13765384615385
347 time:72.49,best fitness:71.13506153846153
348 time:72.2,best fitness:71.12962307692308
349 time:72.82,best fitness:71.13399999999999
350 time:71.57,best fitness:71.13565384615386
351 time:72.09,best fitness:71.13752307692306
352 time:71.64,best fitness:71.13715384615384
353 time:71.33,best fitness:71.13615384615386
354 time:71.13,best fitness:71.1323
355 time:71.06,best fitness:71.13160769230768
356 time:70.8,best fitness:71.13601538461538
357 time:71.36,best fitness:71.13417692307692
358 time:71.44,best fitness:71.13166153846154
359 time:71.08,best fitness:71.13593846153846
360 time:71.2,best fitness:71.13673076923075
361 time:71.9,best fitness:71.13161538461539
362 time:71.78,best fitness:71.13653076923076
363 time:72.03,best fitness:71.13481538461537
364 time:71.7,best fitness:71.13115384615385
365 time:71.35,best fitness:71.13304615384614
366 time:72.32,best fitness:71.13026153846155
367 time:71.87,best fitness:71.13015384615383
368 time:71.65,best fitness:71.13083846153846
369 time:71.5,best fitness:71.13292307692308
370 time:71.45,best fitness:71.13405384615383
371 time:71.28,best fitness:71.13715384615384
372 time:71.3,best fitness:71.13384615384615
373 time:71.54,best fitness:71.13765384615382
374 time:71.63,best fitness:71.13215384615384
375 time:71.5,best fitness:71.12726153846154
376 time:71.2,best fitness:71.13115384615384
377 time:71.73,best fitness:71.13065384615385
378 time:72.85,best fitness:71.13314615384616
379 time:71.27,best fitness:71.13527692307692
380 time:71.35,best fitness:71.13305384615384
381 time:70.78,best fitness:71.13315384615383
382 time:70.42,best fitness:71.12976923076923
383 time:70.29,best fitness:71.12903846153846
384 time:70.54,best fitness:71.1183
385 time:70.8,best fitness:71.13715384615384
386 time:70.18,best fitness:71.1319
387 time:70.71,best fitness:71.13635384615384
388 time:70.23,best fitness:71.13315384615386
389 time:70.87,best fitness:71.13115384615384
