145 time:222.33,best fitness:-15.945472704397718
146 time:220.91,best fitness:-15.70575540009905
147 time:219.4,best fitness:-15.676561239696122
148 time:223.01,best fitness:-15.931347971068325
149 time:222.56,best fitness:-16.039204674687618
150 time:220.37,best fitness:-16.1012297279551
151 time:220.24,best fitness:-15.906397085463857
152 time:220.21,best fitness:-15.811609804495225
153 time:219.68,best fitness:-15.773683051983163
154 time:221.86,best fitness:-15.84985456854372
155 time:221.36,best fitness:-15.823606846470618
156 time:219.73,best fitness:-15.697730019845928
157 time:220.35,best fitness:-15.966845903666902
158 time:223.02,best fitness:-15.763795745539474
159 time:223.7,best fitness:-15.75600704167099
160 time:219.95,best fitness:-15.957691471003058
161 time:220.64,best fitness:-15.990572042301642
162 time:222.15,best fitness:-15.593619039780137
163 time:221.21,best fitness:-15.885753160184228
164 time:223.99,best fitness:-15.86107821797439
165 time:224.31,best fitness:-15.89031421329149
166 time:222.59,best fitness:-15.904353816796927
167 time:222.23,best fitness:-16.125043415332012
168 time:221.08,best fitness:-16.04744632776112
169 time:221.88,best fitness:-16.110938836137645
