0 time:185.85,best fitness:-53.93838619006679
1 time:179.74,best fitness:-48.90564179160294
2 time:179.41,best fitness:-51.2869449826842
3 time:178.77,best fitness:-51.85651502280518
4 time:180.09,best fitness:-53.46969667540936
5 time:179.09,best fitness:-51.19141373182011
6 time:179.0,best fitness:-50.25902103983348
7 time:178.76,best fitness:-49.74774070035354
8 time:178.13,best fitness:-48.28040508295504
9 time:179.89,best fitness:-48.56963503270413
10 time:178.77,best fitness:-52.937699945121835
11 time:178.7,best fitness:-48.740712699838035
12 time:179.86,best fitness:-50.37385233028903
13 time:180.62,best fitness:-51.62566776357704
14 time:177.84,best fitness:-52.53834267123068
15 time:180.32,best fitness:-50.441697356702456
16 time:177.54,best fitness:-50.453493698345234
17 time:179.15,best fitness:-51.57340549914219
18 time:178.81,best fitness:-50.30028454932937
19 time:177.51,best fitness:-52.72355279206668
20 time:178.01,best fitness:-50.69540883003348
21 time:177.65,best fitness:-49.91723159070789
22 time:178.01,best fitness:-50.90710032149452
23 time:179.61,best fitness:-52.1096034512177
24 time:178.04,best fitness:-48.61340069018768
25 time:177.9,best fitness:-51.10415739349636
26 time:177.64,best fitness:-53.220746559869326
27 time:178.02,best fitness:-49.43668347193583
28 time:178.35,best fitness:-49.84458773760108
29 time:177.22,best fitness:-50.16965683986725
30 time:179.3,best fitness:-50.22268137187058
31 time:177.51,best fitness:-49.30158835201129
32 time:177.22,best fitness:-50.13729978988909
33 time:178.95,best fitness:-50.5241017730383
34 time:178.96,best fitness:-51.77231100087843
35 time:176.94,best fitness:-48.60942913324911
36 time:178.63,best fitness:-49.17424466815037
37 time:176.61,best fitness:-49.12773143700094
38 time:177.99,best fitness:-51.494989101356055
39 time:177.54,best fitness:-51.57481896215827
40 time:178.11,best fitness:-51.570696908850834
41 time:178.68,best fitness:-49.899307001428774
42 time:177.52,best fitness:-49.83605788530906
43 time:177.66,best fitness:-50.22423264436083
44 time:177.66,best fitness:-50.87120020390572
45 time:179.11,best fitness:-50.628685385252574
46 time:179.44,best fitness:-51.91052474885165
47 time:177.49,best fitness:-48.37863982267353
48 time:177.43,best fitness:-49.80584446825291
49 time:178.46,best fitness:-49.46285622595159
50 time:178.33,best fitness:-51.17549627427375
51 time:177.76,best fitness:-51.313779377692754
52 time:179.13,best fitness:-51.96260237099208
53 time:178.59,best fitness:-52.611150262104445
54 time:176.98,best fitness:-48.76088903477859
55 time:177.02,best fitness:-50.289960114818854
56 time:177.43,best fitness:-50.89422722351501
57 time:178.72,best fitness:-51.587053880620694
58 time:178.12,best fitness:-51.27287557010334
59 time:177.51,best fitness:-52.31627913968945
60 time:176.96,best fitness:-51.391922808097796
61 time:178.24,best fitness:-48.83397868261314
62 time:177.17,best fitness:-50.44269148831082
63 time:178.31,best fitness:-51.67287508040342
64 time:177.38,best fitness:-51.369482867812394
