0 time:189.6,best fitness:-57.178902464047134
1 time:184.37,best fitness:-49.09528115393721
2 time:183.44,best fitness:-16.102467702307393
3 time:183.72,best fitness:-16.24023511771245
4 time:186.59,best fitness:-16.081041950838024
5 time:181.11,best fitness:-16.155095153839714
6 time:183.41,best fitness:-15.6903309398415
7 time:183.46,best fitness:-16.042215752128644
8 time:185.24,best fitness:-16.02249687487436
9 time:182.52,best fitness:-15.876648463991884
10 time:190.93,best fitness:-15.89235004229406
11 time:224.75,best fitness:-15.396354535180746
12 time:191.09,best fitness:-15.89164970699226
13 time:181.79,best fitness:-15.977302660376218
14 time:191.93,best fitness:-16.14817641314892
15 time:190.84,best fitness:-15.990391448117492
16 time:185.0,best fitness:-15.953787411718443
17 time:181.8,best fitness:-16.0025263459234
18 time:192.7,best fitness:-16.119117844591294
19 time:201.14,best fitness:-16.107640628705735
20 time:199.41,best fitness:-15.94208786469482
21 time:196.16,best fitness:-15.705800615496889
22 time:199.1,best fitness:-16.096283544450227
23 time:185.89,best fitness:-15.898966812342932
24 time:182.75,best fitness:-15.597156518963422
25 time:183.73,best fitness:-16.081777839007966
26 time:183.63,best fitness:-16.069174776676405
27 time:184.14,best fitness:-16.127327175530215
28 time:183.37,best fitness:-16.044059824657946
29 time:183.43,best fitness:-16.21054158475585
30 time:183.05,best fitness:-16.072238635497317
31 time:183.97,best fitness:-15.839061280044165
32 time:184.18,best fitness:-15.812921486365775
33 time:182.86,best fitness:-15.903534113140232
34 time:184.05,best fitness:-16.05289191092537
35 time:184.44,best fitness:-15.789512499889407
36 time:182.76,best fitness:-16.019982278552707
37 time:184.56,best fitness:-15.863171694211486
38 time:182.77,best fitness:-15.817762701208819
39 time:183.45,best fitness:-15.896860538156005
40 time:184.28,best fitness:-15.88406351948133
41 time:183.52,best fitness:-16.075356435259252
42 time:183.45,best fitness:-16.27915172480765
43 time:184.81,best fitness:-16.37858629344445
44 time:185.41,best fitness:-16.191108511564984
45 time:183.68,best fitness:-15.915437894130193
46 time:183.43,best fitness:-15.97723912965956
47 time:183.22,best fitness:-15.884603528591503
48 time:184.41,best fitness:-16.216858098614697
49 time:184.17,best fitness:-16.188201995061164
50 time:184.41,best fitness:-16.195065608586173
51 time:182.66,best fitness:-16.24917840400253
52 time:184.74,best fitness:-16.2109927461763
53 time:183.84,best fitness:-15.894708055808556
