0 time:116.48,best fitness:-20.081110655424926
1 time:91.22,best fitness:-19.295812922511285
2 time:91.58,best fitness:-20.36256281228151
3 time:92.01,best fitness:-20.052566051658413
4 time:101.32,best fitness:-18.67440651445141
5 time:92.85,best fitness:-19.223604502437414
6 time:92.0,best fitness:-20.05171781672864
7 time:91.44,best fitness:-20.57495287999568
8 time:92.13,best fitness:-19.60356393556442
9 time:91.87,best fitness:-19.521753316657442
10 time:90.98,best fitness:-19.90862433374565
11 time:91.36,best fitness:-20.321030428105207
12 time:91.5,best fitness:-19.810703989810833
13 time:91.16,best fitness:-19.84927472613441
