0 time:187.67,best fitness:-17.17406145115957
1 time:179.46,best fitness:-16.275130807226592
2 time:178.74,best fitness:-16.22618166351123
3 time:178.11,best fitness:-15.824680698378385
4 time:179.39,best fitness:-15.830527127072244
5 time:177.33,best fitness:-15.907955344995171
6 time:178.17,best fitness:-15.941204425869401
7 time:179.22,best fitness:-16.02335579502646
8 time:180.31,best fitness:-15.926599153840968
9 time:178.86,best fitness:-15.804353791301494
10 time:178.34,best fitness:-15.487154162096152
11 time:176.99,best fitness:-15.903940303618596
12 time:179.67,best fitness:-16.110809760730145
13 time:179.03,best fitness:-15.856564603535967
14 time:178.81,best fitness:-15.929530401014867
15 time:178.12,best fitness:-15.92668395640896
16 time:178.08,best fitness:-15.511713582533181
17 time:178.89,best fitness:-16.062646163992518
18 time:178.24,best fitness:-15.658023209648336
19 time:179.28,best fitness:-15.838653127834528
20 time:178.8,best fitness:-16.002316974187764
21 time:178.39,best fitness:-15.974777650759359
22 time:177.79,best fitness:-15.976632895256467
23 time:179.68,best fitness:-15.893779966678457
24 time:178.64,best fitness:-15.767735768493601
25 time:179.31,best fitness:-15.800123611239107
26 time:178.95,best fitness:-15.744265273701012
27 time:177.11,best fitness:-16.08255275403012
28 time:176.66,best fitness:-15.9514652137718
29 time:178.56,best fitness:-15.570684956121264
30 time:177.98,best fitness:-15.91017541323052
31 time:176.79,best fitness:-15.908766309289673
32 time:176.57,best fitness:-15.81853010026284
33 time:177.11,best fitness:-15.863858224447446
34 time:178.78,best fitness:-15.875129748785184
35 time:178.1,best fitness:-15.935704445113705
36 time:178.62,best fitness:-15.804573520674806
37 time:178.26,best fitness:-15.98795515745712
38 time:177.69,best fitness:-15.835850998372962
39 time:178.3,best fitness:-15.793869108634818
40 time:179.9,best fitness:-15.675547213125443
41 time:178.43,best fitness:-15.896993923943043
42 time:178.1,best fitness:-15.825565299892908
43 time:179.57,best fitness:-15.666715275896548
44 time:179.22,best fitness:-15.716838612101881
45 time:178.03,best fitness:-15.77094730591523
46 time:178.97,best fitness:-16.010425197780126
47 time:178.85,best fitness:-15.91271699743436
48 time:178.41,best fitness:-15.95018811392248
49 time:178.76,best fitness:-15.633956317535985
50 time:177.44,best fitness:-15.76909325785038
51 time:177.8,best fitness:-16.000051956669378
52 time:177.96,best fitness:-15.94540672300989
