0 time:692.99,best fitness:-20.244630769230767
1 time:681.41,best fitness:-19.975469230769228
2 time:690.56,best fitness:-10.463053846153846
3 time:700.51,best fitness:-7.309415384615384
4 time:691.61,best fitness:-7.413346153846154
5 time:688.99,best fitness:-7.098692307692308
6 time:694.92,best fitness:-7.488676923076924
7 time:703.49,best fitness:-7.157076923076923
8 time:702.12,best fitness:-7.424853846153846
9 time:696.55,best fitness:-7.37633076923077
10 time:669.92,best fitness:-7.474030769230769
11 time:600.58,best fitness:-7.532569230769231
12 time:605.84,best fitness:-7.28176923076923
13 time:620.98,best fitness:-7.514669230769233
14 time:602.86,best fitness:-6.97653076923077
15 time:602.08,best fitness:-7.274384615384616
16 time:613.01,best fitness:-7.114746153846156
17 time:600.39,best fitness:-7.436653846153845
18 time:614.61,best fitness:-7.391815384615384
19 time:610.49,best fitness:-7.4091538461538455
