0 time:422.85,best fitness:-57.89395510560772
1 time:392.33,best fitness:-16.35986802492006
2 time:304.11,best fitness:-16.299560193526794
3 time:262.68,best fitness:-16.50894289718429
4 time:264.81,best fitness:-16.226996075632037
5 time:264.61,best fitness:-16.352295019116866
6 time:264.31,best fitness:-16.581627692488258
7 time:264.55,best fitness:-16.481752660003462
8 time:265.06,best fitness:-16.366066075498242
9 time:264.58,best fitness:-16.354041728252927
10 time:264.68,best fitness:-16.5886213161032
11 time:262.49,best fitness:-16.460234381475647
12 time:264.18,best fitness:-16.209347798888267
13 time:266.73,best fitness:-16.59037279567639
14 time:265.4,best fitness:-16.6442789021985
15 time:262.82,best fitness:-16.224018953136934
16 time:266.1,best fitness:-16.434483503213336
17 time:276.63,best fitness:-16.44216539907012
18 time:247.34,best fitness:-16.2226688629397
19 time:247.91,best fitness:-16.580297695717416
20 time:249.4,best fitness:-16.420428857958612
21 time:251.71,best fitness:-16.232024324264525
22 time:272.33,best fitness:-16.397403117720344
23 time:244.79,best fitness:-16.401277487438573
24 time:246.7,best fitness:-16.864904904543913
25 time:241.93,best fitness:-16.53258767836923
26 time:248.23,best fitness:-16.21099312707388
27 time:247.41,best fitness:-16.50791979085783
28 time:256.24,best fitness:-16.44092975362119
29 time:252.12,best fitness:-16.238837238191458
30 time:247.68,best fitness:-16.49745173165954
31 time:249.35,best fitness:-16.326717485483403
32 time:247.61,best fitness:-16.39710541387494
33 time:254.17,best fitness:-16.28576303071745
34 time:251.84,best fitness:-16.83558440650902
35 time:254.01,best fitness:-16.413884967361607
36 time:273.01,best fitness:-16.302651270115675
37 time:247.22,best fitness:-16.783694291703927
38 time:237.29,best fitness:-16.681450898511585
39 time:251.22,best fitness:-16.156996004888352
40 time:255.42,best fitness:-16.597881266553728
41 time:247.11,best fitness:-16.4828350620892
42 time:252.13,best fitness:-16.386741440281423
43 time:253.01,best fitness:-16.59709785214594
44 time:254.14,best fitness:-16.484887079490864
45 time:256.7,best fitness:-16.831384457896437
46 time:265.69,best fitness:-16.4865709939733
47 time:258.94,best fitness:-16.530265531827286
48 time:266.4,best fitness:-16.717408973082517
49 time:280.65,best fitness:-16.303714120213446
50 time:288.86,best fitness:-16.225082872560886
51 time:291.85,best fitness:-16.554620248376636
52 time:279.45,best fitness:-16.45596157129889
53 time:284.54,best fitness:-16.52422256082834
54 time:260.72,best fitness:-16.454459336002387
55 time:250.95,best fitness:-16.56437191409746
56 time:254.7,best fitness:-16.48735336033141
57 time:256.08,best fitness:-16.368637838827578
58 time:258.38,best fitness:-16.43679928182654
59 time:260.76,best fitness:-16.32652301247571
60 time:256.65,best fitness:-16.223776395715657
61 time:269.87,best fitness:-16.398829735806615
62 time:266.58,best fitness:-16.38308037513433
63 time:271.69,best fitness:-16.18935904215009
64 time:268.06,best fitness:-16.355747703773073
65 time:281.92,best fitness:-16.434258622245796
66 time:307.1,best fitness:-16.694104554600287
67 time:308.55,best fitness:-16.235224955482675
68 time:311.81,best fitness:-16.521040886354218
69 time:292.69,best fitness:-16.31132626864525
70 time:286.27,best fitness:-16.7594677640212
71 time:269.38,best fitness:-16.370289152543325
72 time:279.49,best fitness:-16.41727468905234
73 time:300.17,best fitness:-16.62657971497937
74 time:270.3,best fitness:-16.54278644693273
75 time:255.16,best fitness:-16.729067384210538
76 time:303.93,best fitness:-16.154306222211144
77 time:267.13,best fitness:-16.502980021622605
78 time:268.88,best fitness:-16.14730321653834
79 time:267.52,best fitness:-16.40473664704765
80 time:259.39,best fitness:-16.730195245096898
81 time:273.34,best fitness:-16.268865223403452
82 time:255.33,best fitness:-16.494927389810435
83 time:254.14,best fitness:-16.49296838635523
84 time:294.74,best fitness:-16.854086327253565
85 time:254.06,best fitness:-16.61539396595373
86 time:313.47,best fitness:-16.42789489815699
87 time:292.96,best fitness:-16.423229948554944
88 time:256.36,best fitness:-16.5819799438875
89 time:253.01,best fitness:-16.531968310288118
90 time:250.53,best fitness:-16.65252935376783
91 time:250.61,best fitness:-16.620715899255767
92 time:290.08,best fitness:-16.476070446894678
93 time:286.28,best fitness:-16.417456288416982
94 time:250.42,best fitness:-16.16395443742509
95 time:240.5,best fitness:-16.301722682603028
96 time:245.11,best fitness:-16.23858240393909
97 time:229.48,best fitness:-16.209377914717862
98 time:237.16,best fitness:-16.377638162337718
99 time:232.09,best fitness:-16.429350665018784
100 time:271.53,best fitness:-16.335522874388225
101 time:258.38,best fitness:-16.396559597315353
102 time:269.71,best fitness:-16.021548911394003
103 time:268.25,best fitness:-16.369683459248666
104 time:287.76,best fitness:-16.34198617893903
105 time:239.38,best fitness:-16.249013612312257
106 time:247.09,best fitness:-16.21791110003678
107 time:248.17,best fitness:-16.40150146671232
108 time:239.9,best fitness:-16.407818398135444
109 time:271.23,best fitness:-16.333007493155275
110 time:236.43,best fitness:-16.192297855920998
111 time:237.17,best fitness:-16.589606834528308
112 time:246.74,best fitness:-16.351257749085008
113 time:238.05,best fitness:-16.668107792170073
114 time:234.78,best fitness:-16.419284106870172
115 time:241.79,best fitness:-16.57097804072139
116 time:227.14,best fitness:-16.411845169322774
117 time:222.99,best fitness:-16.422988047114973
118 time:222.08,best fitness:-16.69226271842854
119 time:219.75,best fitness:-16.669080116899455
120 time:225.36,best fitness:-16.456530475996818
